视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
24,https://www.youtube.com/watch?v=XXQ1aWTNoEY,51:32,纪录片 - 自然,1,What temperatures are suitable for mangroves to grow in?,通用知识推理,Tropical hot areas.,视频开头介绍日本南部属热带气候，有大量的红树林，由此可推出适合红树林生长的环境是气温较高的热带地区。,视频需定位到视频开头，介绍日本南部属热带气候，有大量的红树林，由此可推出适合红树林生长的环境是气温较高的热带地区。,,,,,,,,,,
,,,,2,What is the unique skill of the Iranian Moor's Kingfisher to hunt for food?,"多模态/多语言推理,通用知识推理",Smash the hermit crab shells open with the help of rocks.,视频中介绍在海域中有很多贝类生物，其中有寄居蟹，而寄居蟹是一种红色翠鸟的食物，画面中出现这种翠鸟是通过石头把坚硬的壳敲开后吃到了食物，最后视频介绍到红色翠鸟是伊朗莫尔翠鸟，这种获取事物的技巧是它们特有的。,视频需定位到视频介绍海域中的生物时，说在海域中有很多贝类生物，其中有寄居蟹，而寄居蟹是一种红色翠鸟的食物，画面中出现这种翠鸟是通过石头把坚硬的壳敲开后吃到了食物，最后视频介绍到红色翠鸟是伊朗莫尔翠鸟，这种获取事物的技巧是它们特有的。,,,,,,,,,,
,,,,3,In what month do bananas in Japanese Iriomote ripen?,通用知识推理,In May.,视频中介绍的是日本Iriomote岛的自然情况，并且在Akiko纺纱过程时，说Akiko一个学生的任务是采集香蕉和香蕉叶，介绍五月是香蕉成熟的月份。,视频需定位到介绍Akiko纺纱过程时，说Akiko一个学生的任务是采集香蕉和香蕉叶，介绍五月是香蕉成熟的月份。,,,,,,,,,,
,,,,4,Why the banana fibre is used to spin in the sweltering rainy season?,通用知识推理,Because drying causes the banana fibre yarn to break.,视频中介绍Akiko在炎热雨季到来时也坚持用香蕉纤维纱纺纱，原因是如果环境太干燥的话香蕉纤维纱会断。,视频需定位到介绍Akiko在炎热雨季到来时也坚持用香蕉纤维纱纺纱，原因是如果环境太干燥的话香蕉纤维纱会断。,,,,,,,,,,
,,,,5,What does Akiko do?,人物属性建模,Textile Designer.,,视频需定位到Akiko刚出现时，介绍Akiko就是在本地出生的，并且现在是一名纺织设计者。,,,,,,,,,,
,,,,6,Which part of the textile process did Akiko think the most exciting?,人物属性建模,Wash fabrics in seawater.,,视频需定位到介绍纺织的最后一道工序时，说最后一道工序是在海水里清洗纺织好的布料，而这也是Akiko最喜欢的一道工序。,,,,,,,,,,
25,https://www.youtube.com/watch?v=Rk3oNAvvw0E,29:08,vlog - 出行,1,Does Manila like going to Disney?,人物属性建模,Yes.,,视频中父母早上用迪士尼惊喜唤醒孩子时，马尼拉（Manila）立即回应“Let’s go”，且后续游玩时表现积极，推断她喜欢去迪士尼。,,,,,,,,,,
,,,,2,What is the relationship between Dorothy and Kelly?,"多线索推理,人物属性建模",They are sisters.,,视频中父母多次以“kids”统称Dorothy、Kelly及另一孩子Manila（如“we surprised the kids”），并共同参与家庭活动（迪士尼、烹饪课）。,,,,,,,,,,
,,,,3,What do they do after the cooking class?,多线索推理,Sleep.,,视频中他们先上了烹饪课然后去睡觉了。,,,,,,,,,,
,,,,4,Is the Ritz-Carlton pool considered unique?,通用知识推理,Yes.,泳池位于118层且天花板有镜子，形成“飞翔”视觉效果，是“世界最高泳池”，所以是独特的。,视频提到泳池位于118层且天花板有镜子，形成“飞翔”视觉效果，它是“世界最高泳池”，推断因其海拔高度和镜面设计而独特。,,,,,,,,,,
,,,,5,Is the Hong Kong version of Ghost House more relaxing or nerve-wracking?,通用知识推理,Relaxing.,香港迪士尼的幽灵公馆因“本地人不喜欢鬼魂”，刻意减少恐怖元素，转而强调趣味性。,视频中提到香港迪士尼的幽灵公馆因“本地人不喜欢鬼魂”（“people here don’t like ghosts”），刻意减少恐怖元素，转而强调趣味性（“more like fun”）。,,,,,,,,,,
26,https://www.youtube.com/watch?v=NDIp0Vu9iII,27:25,vlog - 出行,1,Does Nate like to travel?,人物属性建模,Yes.,,视频中Nate多次强调他们通过旅行获得独特的体验，根据他在旅行中开心的表情以及语言信息可以得出结论，Nate喜欢旅行。,,,,,,,,,,
,,,,2,What is Nate's relationship with Cara?,人物属性建模,They are lovers.,,"视频中Nate明确提到 ""I cannot believe I found a wife who is willing to come along""，直接表明婚姻关系。",,,,,,,,,,
,,,,3,What do they do before the golf hole-in-one challenge?,多线索推理,Snorkeling to observe coral reef ecology.,,视频中先定位他们挑战高尔夫一杆进洞，然后再定位到浮潜观测珊瑚礁生态。,,,,,,,,,,
,,,,4,How can loyalty program tiers significantly reduce luxury hotel costs?,通用知识推理,Credit card partnerships granting elite status.,申请希尔顿联名信用卡可直接获得钻石会籍，从而享受免费早餐、专属海滩等福利,"视频提到通过《Daily Drop》频道的策略，申请希尔顿联名信用卡可直接获得钻石会籍（""get diamond status by signing up for a credit card""），从而享受免费早餐、专属海滩等福利。",,,,,,,,,,
,,,,5,Why does accessing Bora Bora require connecting through Tahiti?,通用知识推理,No international runway infrastructure.,"波拉波拉机场跑道长度仅2,295米，无法起降大型宽体客机，而塔希提法阿国际机场跑道3,420米，满足国际航班起降需求。","视频说明""需先飞往塔希提主岛，再转45分钟航班""，波拉波拉机场跑道长度仅2,295米，无法起降大型宽体客机，而塔希提法阿国际机场跑道3,420米，满足国际航班起降需求。",,,,,,,,,,
27,https://www.youtube.com/watch?v=Ek9oyDPreNY,26:53,vlog - 派对,1,What's Holly favourite snack?,"多线索推理,人物属性建模",Candy.,,在Holly和妈妈去购物时，她接连拿了很多不同的糖果，有棉花糖、砂糖、软糖、硬糖、泡泡糖、棒棒糖等，说明Holly最喜欢的零食是糖果,,,,,,,,,,
,,,,2,Does Costco probably provide ladder for their customers?,"多模态/多语言推理,通用知识推理",Yes.,Holly和妈妈到Costco购物时，视频画面可见Costco是仓储购物模式，货架都非常高，因此Costco很可能会为他们的顾客提供梯子，帮助他们拿到想要的商品,模型需定位到Costco片段，视觉上可知Costco是仓储购物模式，货架都非常高，因此Costco很可能会为他们的顾客提供梯子，帮助他们拿到想要的商品,,,,,,,,,,
,,,,3,Does Holly's mother a considerate or careless person?,"多线索推理,人物属性建模",Considerate.,,在Holly 13岁的生日聚会上，因为Holly年龄还太小，于是妈妈为她规划好了一切，食物、衣服、装饰全部是妈妈安排的，她还考虑到有些小孩不能喝饮料，而准备了矿泉水，种种以上都能看出来她是个贴心的人,,,,,,,,,,
,,,,4,What's the color of Holly's bracelet that she wears in her birthday party?,多模态/多语言推理,Golden.,,模型需根据听觉定位到Bracelet片段，再由视觉确定颜色是金色的，得出答案,,,,,,,,,,
,,,,5,"What's kind of the brand ""Charlotte Tibury"" is?",通用知识推理,Make-up products.,当妈妈在给小女儿Olivia化妆时，说到用到的两个眼影一个是Mac的，另一个是Charlotte Tibury的，可推断出Charlotte Tibury是一个化妆品品牌,在模型需定位到给小女儿Olivia化妆的片段，其中用到的两个眼影一个是Mac的，另一个是Charlotte Tibury的，可推断出Charlotte Tibury是一个化妆品品牌,,,,,,,,,,
28,https://www.youtube.com/watch?v=e0_njRdjxPc,26:00,vlog - 烹饪,1,What's kind of pet does the blogger have?,人物属性建模,Cat.,,虽然博主并没有明确说到哪个是他的宠物，但博主来到健身房时，说到我的健身室也是猫砂室，有时它在瑜伽垫上走来走去，视频画面也可见瑜伽垫上有很多猫砂，可推断出博主是有猫的,,,,,,,,,,
,,,,2,"What the kind of the brand ""Lisa Leonard Designs"" is?","多模态/多语言推理,通用知识推理",Decorative small pendant.,博主收到了苏西寄来的礼物，礼物盒子上标有Lisa Leonard Designs的字样，礼物是两个钥匙链，可推断出Lisa Leonard Designs是品牌的名字，主卖装饰性小挂件,根据听觉需定位到礼物片段，视觉可知盒子上标有Lisa Leonard Designs的字样，礼物是两个钥匙链，可推断出Lisa Leonard Designs是品牌的名字，主卖装饰性小挂件,,,,,,,,,,
,,,,3,Which body part does the blogger hate the most about getting injured?,人物属性建模,Tongue.,,在博主买完星巴克的甜品后，在试吃时，直呼几次太烫了，甚至还说起了脏话，如果把我的舌头烫伤的话，我在每次吃饭时都会很生气，反应很激烈，可见他可能最接受不了舌头被烫伤,,,,,,,,,,
,,,,4,What does the blogger do after the bread is baked well?,多跳推理,He taste it.,,模型需定位到博主将烤好的面包拿出来的片段，随后博主和家人开始享用这些烤面包,,,,,,,,,,
,,,,5,"What ingredients are needed to make ""Toad in the hole""?","多线索推理,通用知识推理",Crispy pastry、cheese and egg.,在制作Toad in the hole时，博主先将酥皮烤制了，再在中间放上芝士和鸡蛋再烤制，共用到3种原料,模型需定位到多个片段得出Toad in the hole的三种原材料,,,,,,,,,,
29,https://www.youtube.com/watch?v=zwFgrbsYKUU,26:11,vlog - 运动,1,How is Holly used to planning her life?,人物属性建模,To Do lists.,,模型需定位Holly早期做每日计划表的片段，可以看出她习惯于将想要做的事情列成一条条的计划,,,,,,,,,,
,,,,2,What's type of video does Holly like to make?,人物属性建模,Video related to food and fitness.,,"模型需定位Holly讲述自己的vlog计划，主要集中于食物和健康的方面，并涉及健康的生活习惯等,可见她对这两方面比较感兴趣，想要分享给大家",,,,,,,,,,
,,,,3,What foods can I choose if I want to eat healthily and happily?,通用知识推理,Low-calorie but filling foods.,全麦食物，吐司，搭配牛油果等热量低的食物，可以产生热量差，同时不会很快感觉饥饿,模型需定位Holly在快速给自己准备早餐时用到的食材，包括烤吐司，牛油果，西红柿等，都是健康又饱腹的食物,,,,,,,,,,
,,,,4,What can I do to increase my exercise when I don't want to?,通用知识推理,Walk a dog.,遛狗会增加主人的运动量又不会感觉太枯燥乏味，同时遛狗属于每天必备，可以被动地增加每日运动量,模型需定位Holly早上开会后遛狗的片段，可以看出她的每日运动量一部分上有遛狗构成。,,,,,,,,,,
,,,,5,What is Holly's goal in vlogging?,多线索推理,Offer more value to fans.,,模型需定位Holly解释自己做vlog的标准，以及更新的频率等，她表示，一个博主必须要能够给关注者提供更多的价值，才算是博主的标准。,,,,,,,,,,
30,https://www.youtube.com/watch?v=baEbOK7YPi0,25:09,vlog - 居家,1,What was Becca's way of celebrating?,人物属性建模,Open a bottle of wine.,,模型需定位Becca在视频开头迎接男朋友时大声欢呼并开启红酒瓶的片段，可以推出，她庆祝的方式有开酒。,,,,,,,,,,
,,,,2,How many houses does Becca have at least?,人物属性建模,Three.,,Becca表示非常高兴能在今年搬进新家，因为她可以在伦敦度过在这的第一个圣诞节，在往年，她一般会去爱丁堡和苏格兰的家过圣诞节，可知博主现在至少有三处房产。,,,,,,,,,,
,,,,3,How are house prices in West London?,通用知识推理,Super expensive.,英国有句话叫“The power in the west ”，意即权贵在西，西部一直是伦敦的“富人区”。 王室居所和首相官邸皆坐落于此，兼之有大片的绿地和公园，伦敦西区一直是贵族生活区，住这里在伦敦是一种身份地位的象征，这里也是伦敦的富人区之一。,模型需定位Becca在描述新家的地理位置的片段，他们的新家处于伦敦西部，而伦敦西部的房子是富人区，因此价格将会尤其高。,,,,,,,,,,
,,,,4,Do Youtube bloggers make a decent living?,通用知识推理,"Basically, it's pretty impressive.","一次性付费合作：事先谈好视频要求及推广费用，越头部的博主价格越高。
佣金合作：常见为开箱测评、植入品牌、口播引导购买。 博主还会在视频简介或者评论区中给粉丝分享购物链接及专属优惠码。 粉丝购买后，博主可获得一定的佣金报酬。",模型需定位Becca的粉丝量巨大，同时她购买的房子处于伦敦的富人区，由此可推测作为Youtube的博主，她的收入很可观。,,,,,,,,,,
,,,,5,Has Becca been doing well during her time as a blogger?,多线索推理,No.,,模型需定位Becca展示的自己曾多次崩溃的片段，以及她在哭泣的画面，由此可推测她做博主也不是一帆风顺的。,,,,,,,,,,
31,https://www.youtube.com/watch?v=2iGE-EerTBs,34:08,vlog - 烹饪,1,Is the blogger a person focusing on order?,"多线索推理,人物属性建模",Yes.,,博主家的房子很大，并且还有两个孩子，但视频画面拍到的博主家的房子都很整洁，博主还有收纳的习惯，浴巾、卫生纸等都整整齐齐地放好，说明博主是个很有条理的人,,,,,,,,,,
,,,,2,What's the first thing the blogger does when she gets up in the morning?,人物属性建模,Get the kids out of bed.,,模型需定位博主对于自己一天日程的阐述，以及画面的展现，她早上是从叫孩子们起床开始的,,,,,,,,,,
,,,,3,What is the difference between a home coffee machine and a commercial coffee machine?,通用知识推理,"Significant differences in design, performance, production capacity and price.",设计和外观：家用咖啡机一般较小巧，外观美观、简洁，颜色和材质多种多样，而商用咖啡机一般比家用咖啡机体积更大，外观更加朴实，往往更注重实用性和耐用性。性能和生产能力：商用咖啡机一般比家用咖啡机具有更强的性能和生产能力。,模型需定位博主和Pat在制作咖啡以及品尝咖啡的片段，可以得出家用咖啡机更小巧便捷。,,,,,,,,,,
,,,,4,What are the benefits of Moong sodas?,通用知识推理,Promotes digestion while facilitating weight management.,粗纤维食物可以改善胃肠道功能，能够防治便秘；改善血糖生成反应，降低 餐后血糖 含量，帮助治疗糖尿病；控制体重，减少肥胖病的发生。,模型需定位博主对于Moong sodas含有的原料介绍，可以看出里面有很多粗纤维食物，由此有助于体重管理，减少肥胖,,,,,,,,,,
,,,,5,What does the blogger do with the toys?,多线索推理,According to the type of toy and whether it is suitable for the child's developmental stage.,,模型需定位博主整理玩具的片段，她先按照玩具的种类分开，如积木和电动玩具等，然后把孩子长大已经不玩的玩具单独分类并收集。,,,,,,,,,,
32,https://www.youtube.com/watch?v=7YobC1Q40M0,20:03,纪录片 - 人文,1,Where do the Bajau people mainly live in Malaysia? ,通用知识推理,The northeast coast of Malaysia.,视频中Joe在介绍巴瑶族分布的国家时从画面显示的地图来看马来西亚的巴瑶族主要生活在马来西亚的东北沿海。,模型需要定位到Joe介绍巴瑶族分布的国家的片段，根据画面中的地图可以看到马来西亚的巴瑶族主要生活在马来西亚的东北沿海。,,,,,,,,,,
,,,,2,Are Bajau women allowed to fish in the water? ,"多线索推理,通用知识推理",No.,视频中下水的巴瑶族都是男性，没有一个女性，由此推测巴瑶族女性不能下水捕鱼。,模型需要根据多个巴瑶族在水中捕鱼的片段，根据画面我们可以看到下水的都是男性，故推测巴瑶族女性不能下水捕鱼。,,,,,,,,,,
,,,,3,How many countries does Joe visit in the video? ,多线索推理,Two.,,模型需要识别出joe去不同国家的片段，根据统计得出他去了两个国家。,,,,,,,,,,
,,,,4,Are the Jago family proud of Jago? ,人物属性建模,Yes.,,模型需要定位Joe去Jago家的片段，画面中可以看到Jago家中贴着他的海报，由此可推测Jago一家对Jago感到自豪。,,,,,,,,,,
,,,,5,What sports do Indonesian Bajau women play? ,人物属性建模,Volleyball.,,模型需要定位印度尼西亚巴瑶族女性打排球的片段，片段中巴瑶族女性聚集在一起打排球，由此可知印度尼西亚巴瑶族女性会进行打排球的活动。,,,,,,,,,,
33,https://www.youtube.com/watch?v=GxBH93e-FwM,21:16,测评 - 服装,1,Does Kelsey have good chemistry with her partner?,"多线索推理,人物属性建模",Yes.,,博主两人虽然擅长的领域不同，但是能适时补充对方卡壳的地方，而且他俩肢体语言挺亲密的。,,,,,,,,,,
,,,,2,Is Kelsey knowledgeable or uninformed?,"多线索推理,人物属性建模",Knowledgeable.,,Kelsey不仅非常熟悉演艺界名流，对衣服的款式如数家珍，对什么铜绿、格莱美相关常识也信手拈来，看得出来她的搭档也略显惊讶，相当渊博的人。,,,,,,,,,,
,,,,3,Is it mandatory to match clothes according to the theme at the Met Gala?,"多线索推理,通用知识推理",No.,每当明星们穿得离题千里，博主便毫不留情地吐槽，可能有的音乐届、体育届明星压根儿就不太理会什么主题不主题的，说明met gala不是强制要求穿搭必须符合主题。,博主说了本届met gala的主题是镀金时代，画面也给了一些绘画、影视作品图片，可以基本了解这个主题的风格是什么，但是很多名人根本不是这么穿的。,,,,,,,,,,
,,,,4,Can I bring props when walking the red carpet at the Met Gala?,"多线索推理,通用知识推理",Yes.,前面有女性穿了可以变形的裙子，那为了发挥想象力，展示符合主题的穿搭，适当用些道具配合也没有问题。,大部分明星就只穿了好看的衣服来，顶多加一个帽子或者包包，而lizzo却拿了个笛子，穿了一身黑色裙子，金色图案的大披风，得到了博主的夸奖。,,,,,,,,,,
,,,,5,"Did Blake Lively need to untie her dress before showing off her patina, or can she just turn around?","多跳推理,多模态/多语言推理",Unting her dress.,,博主介绍的第一对明星是瑞恩·雷诺兹夫妇，在只有Blake Lively正面照片的时候，博主先解释了铜绿产生的原理，接着画面便给到了Blake的裙子在工作人员帮助下解开，刚才的橘色裙子变成了铜绿色光泽，花了很多心思的一套衣服。,,,,,,,,,,
,,,,6,"Among the celebrities Kelsey commented on, how many appeared in pairs?",多线索推理,Six.,,模型需要对成对出现的明星进行计数，但要排除单个出现的明星，得出6对的答案,,,,,,,,,,
34,https://www.youtube.com/watch?v=1Rlw98gxcBk,24:20,测评 - 美妆产品,1,Is Daria from an English-speaking country?,"多线索推理,人物属性建模",No.,,博主英文口音很重，经常把咬着舌头发“D”这个字母，而且语速慢，像喝醉了似的，而且她说了自己是搬到了英国，她肯定不是英美地区的人。,,,,,,,,,,
,,,,2,What color are Daria's eyes?,人物属性建模,Deep blue.,,博主的蓝眼睛非常明显，远看都是蓝汪汪的。,,,,,,,,,,
,,,,3,How many ELF products has Daria used up this month?,多线索推理,Two.,,博主基本讲出了每一个产品的牌子，连续介绍了两款ELF家的面霜小样。,,,,,,,,,,
,,,,4,What is the color of bottles of the Holy Hydration line of ELF?,"多线索推理,通用知识推理",Blue.,Holy Hydration这个系列名字本身就跟水有关，博主也说了效果很水润，两个不同成分的产品都是蓝色瓶身，白色瓶盖，可以推测该系列都是这么设计的。,定位到介绍ELF小样的两段，博主有提到这两款都是Holy Hydration系列，但是成分并不一样。,,,,,,,,,,
,,,,5,Can the box of The Balm Greatest Hits Volume2 be used as a mirror?,"多模态/多语言推理,通用知识推理",Yes.,像眼影、粉底这些产品的包装有的自带镜子，这款挺老大的powder blush盘本身就能当镜子用，每个格子都是。,博主在介绍一盘powder blush合集的片段，她比较钟爱其中几种颜色，有几个格子已经空了，空着的格子能反射到其他物体，跟镜子似的。,,,,,,,,,,
,,,,6,Which brand of products did Daria introduce after Aveeno?,多跳推理,ELF.,,定位到博主介绍Aveeno的片段，注意博主会介绍每一个化妆品的品牌，接下来是ELF。,,,,,,,,,,
,,,,7,How many empties did Daria have this month?,多线索推理,Twelve.,,"博主在视频最后自己总结了，按照不同用途各自用掉了多少个化妆品，但是她没有计算总数，6个make up的，4个skin care的，一个perfume，一个hair care,总共12个。",,,,,,,,,,
35,https://www.youtube.com/watch?v=xVMOnx6CLo8,27:46,探索 - 参观,1,In what session did the vlogger feel popular among the students?,"多跳推理,多模态/多语言推理",When he makes eggs on nutrition class.,,模型定位到wish list上面being popular 的项目上被打钩的片段，是在营养课上煎鸡蛋的环节。,,,,,,,,,,
,,,,2,In which aspect is the vlogger extraordinary?,人物属性建模,Body building.,,"Will在IMG参加的比赛都以失败告终，只有在营养课上，学生们都羡慕他的肌肉，只有这次他赢了,说明在body buliding方面，博主是超越常人的。",,,,,,,,,,
,,,,3,What does “cheat day” mean?,通用知识推理,"On cheat day, the athlete can have food that is not very healthy, such as fried chickens.",在学生食堂，Will介绍servery以外的一些选择，相比而言都不是那么健康但比较诱人的食物，比如炸鸡，Will说只能每周在cheat day那天吃一次。因此在cheat day可以选择吃不那么健康但好吃的食物。,cheat day可以吃炸鸡，这是种不太健康但好吃的食物,,,,,,,,,,
,,,,4,Which sports did the vlogger play at IMG？,多线索推理,"Volleyball, tennis and hurdle.",,从视频中可以截取到Will尝试了排球、网球和跨栏。,,,,,,,,,,
,,,,5,Why do the tennis courts in IMG have different surfaces?,通用知识推理,For students to prepare for different grand slam tournaments.,教练介绍网球场的时候，举例说，如果你备战法网，你需要在相应的场地类型上训练，因此可知不同的大满贯赛事对应不同的场地类型。,教练介绍对场地和备战关系时，当时他们面对着不同地面的网球场，模型需要对教练的这段话进行联想。,,,,,,,,,,
,,,,6,Does Will have any kid?,人物属性建模,Yes.,,Will说他将来一定会把孩子送到这上学，后面他用了“she“，说明他有一个女儿。,,,,,,,,,,
36,https://www.youtube.com/watch?v=UpbBIQtqjkQ,24:40,vlog - 烹饪,1,Does Marissa often go to basketball games with her mother? ,人物属性建模,Yes.,,模型需要定位Marissa说今年都还没带妈妈去看篮球比赛，并说自己有密歇根州立大学篮球赛季票，由此推测Marissa经常带妈妈去看篮球赛。,,,,,,,,,,
,,,,2,What's a quicker way to cut chicken than using a knife and a cutting board? ,通用知识推理,Using scissors.,Marissa处理鸡肉时用剪刀剪的，她说自己懒得把砧板和刀拿出来，由此可知用剪刀剪更便捷。,模型需要定位Marissa处理鸡肉的片段，根据片段中Marissa的操作和话可推测用剪刀剪鸡肉更便捷。,,,,,,,,,,
,,,,3,Who uses the pressure cooker more in Marissa's family? ,人物属性建模,Mitch.,,模型需要定位Marissa在高压锅出现问题的片段，片段中Marissa第一时间打电话给了Mitch问他怎么办，由此可知Mitch对高压锅很熟悉，他常用这个锅。,,,,,,,,,,
,,,,4,How does it take to cook basmati rice compared to brown rice? ,通用知识推理,Basmati takes less time than brown.,视频中Marissa说一开始糙米还没煮熟，后来她知道是因为糙米比巴斯马蒂米难煮熟，需要更长的时间。,模型需要定位Marissa分享对晚饭的评价的片段，根据片段可知basmati煮熟所需的时间比brown少。,,,,,,,,,,
,,,,5,What did Marissa do after she made the sweet potato and avocado dish? ,多跳推理,She made overnight oats.,,模型需要首先定位Marissa做红薯牛油果这道菜的片段，再根据之后的片段分析得知她做的是隔夜燕麦。,,,,,,,,,,
37,https://www.youtube.com/watch?v=2NU33d_F5UA,35:53,vlog - 烹饪,1,What are the disadvantages of stainless steel pots? ,"多线索推理,通用知识推理",They are easy to stick to the pot.,Evelyn家的锅是不锈钢锅，Erica在煎鸡蛋和煎豆腐的时候都粘锅了，由此可知不锈钢锅煎东西容易粘锅。,模型需要定位Erica煎鸡蛋和煎豆腐的片段，根据片段内容可知鸡蛋和豆腐黏在锅上了，由此可知不锈钢锅的缺点是容易粘锅。,,,,,,,,,,
,,,,2,What happens when you heat olive oil over high heat? ,通用知识推理,It produces a lot of smoke.,Erica将橄榄油加入锅中后一会儿就产生了大量的烟，烟雾探测器都响了，Erica把锅移开关火时可以看到火开的很大，由此推测冒烟是因为火太大了，,模型需要定位Erica做晚饭的片段，根据片段中橄榄油冒烟的片段可推测橄榄油经过大火加热会产生大量烟雾。,,,,,,,,,,
,,,,3,How did Erica and Evelyn get to the mystey man's company? ,多跳推理,They took a taxi.,,模型需要首先定位erica和evelyn到达神秘人公司的片段，再根据该片段之前的片段画面可知他们是打车去的。,,,,,,,,,,
,,,,4,What is Evelyn's working style like? ,人物属性建模,Working from home.,,模型根据视频可知Erica到达Evelyn家时Evelyn已经开始工作了，并且Erica在做早餐和午餐的时候Evelyn也一直在旁边工作，由此可知Evelyn是居家办公的。,,,,,,,,,,
,,,,5,Can Erica arrange the order of cooking dishes? ,"多线索推理,人物属性建模",Yes.,,模型需要定位多个片段，片段中可以看到Erica在沥干豆腐的同时加热米饭，等油升温的同时洗蔬菜等等，这些片段可以看出Erica的厨房时间管理能力不错，能够合理安排做菜顺序。,,,,,,,,,,
38,https://www.youtube.com/watch?v=PDSpcBt9agY,25:55,纪录片 - 自然,1,"Who wears glasses, Greta or Matthias?","人物属性建模,多模态/多语言推理",Greta.,,视频一开始介绍了在头对着头干活的两位生物学家，说了名字但对应不上谁是谁。之后单独介绍了Greta，是其中戴眼镜的那位。,,,,,,,,,,
,,,,2,Is Greta a hardworking or lazy biologist?,"多线索推理,人物属性建模",hardworking.,,视频介绍了Greta20年前就开始研究peatland了，而且她在野外考察的时候不怕脏不怕累，需要经常往返于野外和研究中心，是个很勤奋的科学家。,,,,,,,,,,
,,,,3,Is the exterior of the buildings at Greifswald Mire Centre made of brick or stone?,"多模态/多语言推理,通用知识推理",Brick.,定位到Greta开门进实验室的镜头看得更清楚，墙面确实是砖砌的，不是石头的。,视频开头介绍Grate的时候就已经告知她是这个研究所的人，隔了很久才真正给到这个研究所的镜头，可以看到该建筑群都是红色的外墙，像砖头垒的。,,,,,,,,,,
,,,,4,Are there many female experts in the field of peatland protection?,"多线索推理,通用知识推理",Yes.,德国研究中心实验室的三个人全是女性，芬兰还有一位西班牙来的Alicia，英国的Ponda工厂也有不止一位女性，该领域的女性专家相当多。,本视频大概介绍了德国、芬兰和英国在保护peatland方面的探索，请注意每一个国家的研究人员都有女性。,,,,,,,,,,
,,,,5,Is Ponda highly automated or less automated?,"多模态/多语言推理,通用知识推理",Highly automated.,可以看到Finlay把cattails放进机器后，经过了几个步骤就得到了干燥、干净的cattails，能看见每个步骤都是高度机械化的。,定位到参观Ponda仓库的片段，两位创始人亲自演示了制作流程，除了最开始需要人工把cattails放进机器，其他步骤没什么人工身影，厂里人不多。,,,,,,,,,,
,,,,6,How many British cities are mentioned in this video?,多线索推理,One.,,最后才介绍了cattails商业化探索成就，是在英国Bristol的一家工厂，虽然后来提到了Somerset，但这是个郡，不是城市。,,,,,,,,,,
,,,,7,How many founders does Ponda have?,"多线索推理,通用知识推理",Four.,之后去Somerset收割的段落也介绍了另外一位co-founder，虽然只出现了三位，前面的介绍已经可以确定是四个人了。,定位到参观Ponda片段，字幕依次给出了两位联合创始人的名字，旁白介绍说他们还和另外两个人合办了这个厂子，那一共就是4位了。,,,,,,,,,,
,,,,8,Where did Finlay go after showing people around Ponda?,多跳推理,Somerset.,,Finlay就是ponda的创始人之一，节目组介绍完工厂情况，接下来又跟随他去Somerset的农场了。,,,,,,,,,,
39,https://www.youtube.com/watch?v=ierPHIjCays,22:33,vlog - 出行,1,What is Nicole's race?,"多线索推理,人物属性建模",She's an Asian girl.,,字幕提示了博主母女从洛杉矶出发，爸爸还给她俩送机，三个人同框的画面能看出来他们的肤色都是偏黑的，没有一个人是白人混血。,,,,,,,,,,
,,,,2,Are the restroom signs at Houston Airport blue or green?,"多模态/多语言推理,通用知识推理",Blue.,而且博主后来急着找厕所，近景也能看到卫生间里面的标识底色跟外面一样，都是深蓝色的，跟博主衣服颜色挺像。,定位到母女二人落地休斯顿在候机室穿梭的画面，她俩只是边走边聊，没太提及周围的设施，可以看到她们路过了好几个卫生间门口，门口的标识都是一样的。,,,,,,,,,,
,,,,3,Is Nicole very close to her mother?,人物属性建模,Yes.,,博主和妈妈经常脸贴脸、亲亲抱抱，两个人聊起天来也十分默契，关系很好。,,,,,,,,,,
,,,,4,Is the Houston airport busy at night?,"多模态/多语言推理,通用知识推理",No.,博主母亲之前还提到了碧昂丝，休斯顿是她的老家，这个城市还是挺有名的。但是从机场的冷清、各种饭店关门、博主找了好几个卫生间都不开放可以确定，晚间的休斯顿机场已经没什么人流了，一点儿都不忙。,定位到博主和母亲搭乘机场Train之后的片段，两个人打趣说：德州人民快醒醒啊！此时时间是晚上10:30，母亲觉得这里像一个ghost twon，说明没人。,,,,,,,,,,
,,,,5,How many bathrooms did Nicole look for when she finally succeeded in peeing?,多线索推理,Five.,,博主说了想尿尿，然后镜头就给到了一间厕所门口，博主大喊这已经是第四个了，下一个厕所终于是可用的，那么总共找了5个厕所。,,,,,,,,,,
,,,,6,Which fast food restaurant did Nicole pass by on her way to the fifth bathroom?,多跳推理,Subway.,,还是在第四间厕所的片段，博主飞奔到下一个厕所的途中，画面右侧出现了一家subway标识，没有其他的了。,,,,,,,,,,
40,https://www.youtube.com/watch?v=xNRbhl1Eh_4,22:51,测评 - 食品,1,What is the best type of rice to use for stir-frying?,通用知识推理,Day-old rice.,隔夜米饭的淀粉结构更稳定，水分较少，避免炒制时变得软烂，所以隔夜米饭适合进行炒制。,视频中Esther 解释隔夜米饭的淀粉结构更稳定，水分较少（“the oils and vegetables rehydrate it”），避免炒制时变得软烂，所以隔夜米饭适合进行炒制。,,,,,,,,,,
