视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,3,What is MS's dream?,"多线索推理,人物属性建模,多模态/多语言推理",Open a store,,视听结合确认MS身份，定位到博主吃完饭聊天的片段，翻译官说“她（MS）更愿意开一家商店，把东西卖给当地人”，可推断出,,,,,,,,,,
,,,,4,What did MS do after catching the eels?,多跳推理,Drop the blood of the bamboo rat into the daughter's eyes,,定位到MS捉鳗鱼的片段，跟踪行为可得到答案,,,,,,,,,,
,,,,5,What attitude does the blogger hold towards unknown things?,"多线索推理,人物属性建模",Positive,,博主尝试了舂米、烤竹鼠、炸蛇、喝竹鼠血和米酒的混合物、烤田鳅、竹鼠胃酸汤，可推断出,,,,,,,,,,
20,https://www.youtube.com/watch?v=8hVQ3dqhoPU,30:43,测评 - 美妆产品,1,Why do bruises appear after cupping?,通用知识推理,It is caused by the rupture of red blood cells in the bloodstream.,拔罐时的压力差会损坏血液中的红细胞，从而出现淤痕,找到作者拔罐后背部出现淤痕的片段，并根据通用知识推理出答案。,,,,,,,,,,
,,,,2,Does the author want to do cupping again?,多模态/多语言推理,He refused to do it again.,,从作者做拔罐时的画面与语音可以判断出他的态度，并且结合做完之后片段可以得出答案。,,,,,,,,,,
,,,,3,Does the author trust acupuncture?,"多线索推理,人物属性建模","No, he remains skeptical.",,需要结合相应针灸时片段作者的反应推理出答案，。,,,,,,,,,,
,,,,4,Why is the temperature in the rice bath so high?,通用知识推理,Because rice fermentation releases heat.,米发酵时会发热。,找到相应米浴片段，并根据通用知识推理出答案。,,,,,,,,,,
,,,,5,Does the author appreciate the aroma of traditional Japanese rice baths?,人物属性建模,He thinks it smells awful and doesn't like it at all.,,结合作者进行米浴时的反应，并结合他的体会得出答案。,,,,,,,,,,
21,https://www.youtube.com/watch?v=f00y-4gKj-c,32:20,教学 - 技能,1,Is vlogger skillful in controlling the pruning machine？,人物属性建模,He is skillful.,,通过观察视频中男方操控修枝机的过程，以及他说自己已经做过三年的修枝工作，可以得出结论。,,,,,,,,,,
,,,,2,Is it better to drive a pruning machine close to the side or in the middle?,"多线索推理,通用知识推理",In the middle.,涉及驾驶修枝机的知识,在男孩讲解的过程中，他谈到位于中间时可以为自己提供更多的偏差，以及可以处理一系列突发状况，可得结论。,,,,,,,,,,
,,,,3,"When driving a tractor for pruning grapevines, which gear is usually used?",通用知识推理,The first gear or the second gear.,使用修枝机时驾驶的运载机器通常保持较低的速度,通过观察在男孩在驾驶机器时，驾驶的速度保持在了大约2km/h，并且提到要使用二档或者时一档来行进。,,,,,,,,,,
,,,,4,Is the vlogger's elder sister a patient person or an impatient person?,"人物属性建模,多模态/多语言推理",She is patient.,,观察视频中在男生进行讲解时，女生认真聆听的姿态，以及两人关于相关问题的交流询问，耐心解决驾驶过程中出现的问题，可以得出结论。,,,,,,,,,,
,,,,5,What happens after the boy explains and demonstrates how to use the machine once？,多跳推理,The girl enters the main driver control machine.,,定位到男生讲解完操作流程时，提出让女生尝试一下，之后画面展现出两人交换座位，由女生进行机器操控。,,,,,,,,,,
22,https://www.youtube.com/watch?v=md75n8cyenA,21:35,教学 - 科技,1,What privileges will people who obtain the platinum ticket of CrunchLabs have? ,通用知识推理,They can visit CrunchLabs and co-design experiments with Mark's team.,基于视频中MARK讲述他灭个月都会随即在产品中放入一张白金票，获得该票的人将被邀请到CrunchLabs与Mark团队一同设计科学实验。,基于视频中MARK讲述他灭个月都会随即在产品中放入一张白金票，获得该票的人将被邀请到CrunchLabs与Mark团队一同设计科学实验，由此可推断。,,,,,,,,,,
,,,,2,Is the relationship between Martk and Adam harmonious or estranged?,人物属性建模,Their relationship is harmonious.,,Mark在取法挑战Zinke极限之后选择向Adam求救，在见面时与Adam拥抱，回忆闲逛Adam的工作室。可见两个人的关系比较融洽。,,,,,,,,,,
,,,,3,How long is the activity duration of the Camp CrunchLabs summer camp?,通用知识推理, It's 12 weeks.,Mark在视频中的介绍自己举办Camp CrunchLabs夏令营让孩子们实现Mark已然发布的实验视频，夏令营的持续时间是12周。,基于Mark在视频中的介绍自己举办Camp CrunchLabs夏令营让孩子们实现Mark已然发布的实验视频，Mark介绍这个夏令营的持续时间是12周，由此可知。,,,,,,,,,,
,,,,4,Does Adam like or dislike bloodhounds more?,人物属性建模,He likes it more.,,Adam自己主动研究寻血猎犬已经好多年，因此可以判断出他是非常喜欢这一类狗的。,,,,,,,,,,
,,,,5,What color down jacket did Mark wear when he was hiding from Zinka on campus?,多线索推理,Black.,,首先模型定位到加州伯克利躲藏挑战片段，通过画面识别对应的羽绒服颜色为黑色。,,,,,,,,,,
23,https://www.youtube.com/watch?v=T9xsTO6ujqM,24:19,教学 - 科技,1,What kinds of ball games did Mark play on the street in front of his house when he was a child?,多线索推理,"Football, basketball, field hockey and baseball.",,基于视频中关于Mark的儿时描述，他在曾经居住地的门口街道与伙伴们玩耍过足球、篮球、曲棍球棒球等，一条一条通过语言分析可以得到。,,,,,,,,,,
,,,,2,Is Mark very good at playing Wiffle ball?,"人物属性建模,多模态/多语言推理", No.,,首先，基于语言判断出Mark采用传统方法比赛的视频片段，在比赛中轮到Mark击打威浮球时，一次也没打中，这是基于画面可以推断出的，因此Mark非常不擅长。,,,,,,,,,,
,,,,3,Does Jimmy have a talent for sports?,人物属性建模,He is very talented.,,在讲述Jimmy的片段，Jimmy从小就非常擅长击打球类运动，非常热爱威浮球，最终成年也是一位出色的运动员可以推断出时非常又运动天赋的。,,,,,,,,,,
,,,,4,What is the function of the seams on a baseball? ,"多线索推理,通用知识推理",They help pitchers grip better and create better air curves.,基于Mark的调研以及参访得出，当球旋转时，这些缝线有助于抓住更多的 “空气扳手”（这里是形象的说法，指空气对球的作用），但它们也为投手提供了更好的抓握力，这样投手就能让球旋转得更快。我们对普通有缝球和光滑球所做的测试证实了这一点，当时带有缝线的普通棒球弯曲得更加明显。,基于Mark的调研以及参访得出，当球旋转时，这些缝线有助于抓住更多的 “空气扳手”（这里是形象的说法，指空气对球的作用），但它们也为投手提供了更好的抓握力，这样投手就能让球旋转得更快。我们对普通有缝球和光滑球所做的测试证实了这一点，当时带有缝线的普通棒球弯曲得更加明显。由此可推断,,,,,,,,,,
,,,,5,Which team is known as the team with the most advanced pitcher development program in Major League Baseball?,通用知识推理,The San Francisco Giants.,基于视频中Mark的表述旧金山巨人队是被认为称之为美国职业棒球联盟中投手发展计划最先进的团队。,基于视频中Mark的表述旧金山巨人队是被认为称之为美国职业棒球联盟中投手发展计划最先进的团队，且与团队球员和教练相处大胖求也能感受到他们技术的先进，由此可推断。,,,,,,,,,,
24,https://www.youtube.com/watch?v=UVfSs2BEszg,25:09,vlog - 烹饪,1,What is the function of putting on the tefillin in the synagogue? ,通用知识推理,Help to establish connection and concentrate during prayer.,在犹太教堂系上这个tefillin来帮助按压不同的压力点，来帮助在祈祷中建立联系和集中注意力,根据Menachem在犹太教堂中总结片段得知答案,,,,,,,,,,
,,,,2,Is Bri outgoing or introverted?,人物属性建模,Outgoing.,,模型根据Bri在视频中的多个行为和表现可以看出她是开朗的，而不是内向的,,,,,,,,,,
,,,,3,How do most Jews wash their hands in the morning?,通用知识推理,"Pass water cup from right to left, wash thrice then switch. ",这个洗手礼仪是基本上每个犹太人在早上起来第一件事情,Menachem在视频中说了犹太人具体是如何洗手的,,,,,,,,,,
,,,,4,How many people did Menachem and the others wish a happy Hanukkah to in total on the street? ,多线索推理,Seven people.,,模型需定位到视频中多个片段，通过计数得知答案。,,,,,,,,,,
,,,,5,Why do Jews eat doughnuts during Hanukkah?,通用知识推理,To commemorate the miracle of the Temple oil lamp.,为了纪念圣殿中仅有的少量圣油本只能维持油灯燃烧一天，却奇迹般地持续燃烧了八天,模型根据Menachem所介绍得知答案。,,,,,,,,,,
,,,,6,"Does Menachem really like the doughnuts in Sufganiyot, or does he just have a so-so attitude towards them? ",人物属性建模,He likes the doughnuts of Sufganiyot very much.,,Menachem非常喜欢Sufganiyot的甜甜圈并把它推荐给了他的朋友们,,,,,,,,,,
25,https://www.youtube.com/watch?v=eTCtcHGv7io,25:40,vlog - 居家,1,Is Marah an early riser?,人物属性建模,Marah is not used to getting up early.,, 根据Marah在早上5：45分起床后精神状态不是很好，以及她自己所说想赶紧爬回床睡觉可知Marah不是一个习惯早起的人。,,,,,,,,,,
,,,,2,"On the first day of Ramadan, what did Marah do after eating breakfast?",多跳推理,Pray and read the Bible.,,在视频中我们可以看到Marah在吃完早饭后进行了祷告和看圣经。,,,,,,,,,,
,,,,3,Does Malik like chocolate?,人物属性建模,He likes to eat chocolate.,,马里克开盲盒开到巧克力非常开心，结合Marah说如果马里克没有得到巧克力他会很失望，可知马里克很喜欢吃巧克力。,,,,,,,,,,
,,,,4,What is “Marigold”?,通用知识推理,“Marigold“ is a clothing brand.,“Marigold“是服装品牌。,Marah说她的睡衣是”Marigold“的斋月睡衣，可推断”Marigold“是一个服装品牌。,,,,,,,,,,
,,,,5,What is one way to express blessings during Ramadan?,通用知识推理,Get up early.,在斋月，早起是一种表达祝福的方式。,Marah在斋月的第一天早起，因为在斋月的第一天早起是一种祝福，结合她说后面她就不会早起了，可推断斋月不需要每天早起，早起是一种表达祝福的方式。。,,,,,,,,,,
26,https://www.youtube.com/watch?v=YX29Hk08lAY,22:08,测评 - 电子产品,1,What is the function of the mini HDMI equipped on WII?,通用知识推理,Makes switching between devices easier.,HDMI可以作用在游戏机上并使得它与其它设备方便连接。,找到相关WII的画面，并推理出答案。,,,,,,,,,,
,,,,2,Does the author consider the TV's sound system important or unimportant?,人物属性建模,He believes the audio quality is crucial.,,找到对应测试电视音响的画面，并根据作者反应得出答案。,,,,,,,,,,
,,,,3,How many game consoles are installed in the TV?,"多线索推理,多模态/多语言推理",Four.,,结合线索通过画面与语音找到答案。,,,,,,,,,,
,,,,4,Why can acetylene cut through steel plates?,"多模态/多语言推理,通用知识推理","Because it can produce flames exceeding 3,000 degrees Celsius.",乙炔喷出的氧焰温度远超钢材熔点。,找到对应使用乙炔切割钢板的片段，再根据画面与语音推理出答案。,,,,,,,,,,
,,,,5,Can the author tolerate dust on the TV?,人物属性建模,"No, he will clean it off thoroughly.",,找到打开电视内部构造出现灰尘的片段，并根据博主的反应得出答案。,,,,,,,,,,
27,https://www.youtube.com/watch?v=mzj1o1BVTxI,20:37,测评 - 展会,1,Is the number of export booths or import booths larger at the China Import and Export Fair?,通用知识推理,Export booths,中国进出口商品交易会展会规模庞大，有五个大型展馆，约 74000 个展位，包括 20600 个出口展位和 680 个进口展位。,根据视频内容，总结展会信息，中国进出口商品交易会展会规模庞大，有五个大型展馆，约 74000 个展位，包括 20600 个出口展位和 680 个进口展位。出口展位更多。,,,,,,,,,,
,,,,2,How about Vincent's communication ability?,人物属性建模,Vincent has excellent communication skills. ,,Vincent 能够有条理地向 Alex 介绍产品，在交流过程中表达清晰，让对方能够很好地理解产品的相关信息，说明他具有较强的沟通能力。,,,,,,,,,,
,,,,3,What are the benefits of the OEM production mode for brand owners? ,通用知识推理,Save production costs.,OEM 是在商业领域中也被称为 “代工生产” 或 “贴牌生产”。采用 OEM 模式可以节省生产设施的建设投资、生产人员的招聘与培训等成本，将资源集中于产品研发、市场拓展和品牌营销等核心业务。,根据视频内容，总结OEM的生产模式，推断优势。,,,,,,,,,,
,,,,4,What was the first exhibit that Alex visited after entering the Consumer Electronics Hall? ,多跳推理,Coffee maker.,,定位到进入电子消费品展厅的视频片段，分析之后画面得出Alex参观的第一个展品是咖啡机。,,,,,,,,,,
,,,,5,Is Cherry professional and responsible?,人物属性建模,Yes.,,Cherry 作为新能源车辆制造公司的员工，对自家的电动观光巴士产品非常熟悉，能够详细地向 Alex 介绍产品的座位数、产地、成本、销售方式及销售市场等关键信息，展现出她对工作的认真负责和专业精神。,,,,,,,,,,
28,https://www.youtube.com/watch?v=yvD3gczib-E,23:45,探索 - 旅行探险,1,What is Ricardo's job?,"人物属性建模,多模态/多语言推理",Cinematographer.,,根据视频内容，Richard是指博主一行人中的摄影师，只在影片开头提到姓名，从后续的片段推断其工作。,,,,,,,,,,
,,,,2,Is Lino someone who likes to live in the city?,人物属性建模,"No, he isn't.",,根据视频内容，与Lino的聊天内容推断。,,,,,,,,,,
,,,,3,What are the simple methods for dealing with mosquito and insect bites in the wild?,通用知识推理,Treat it with salt water.,盐水可以用来简单处理蚊虫叮咬和其他的一些皮肤问题,根据视频中博主被蚊子叮咬后导游的处理方法推断,,,,,,,,,,
,,,,4,Why should we use a hammock when sleeping in the wild? ,通用知识推理,Higher places are relatively safer.,在野外生存时睡觉时尽量远离地面,视频中一行人都使用吊床，并且通过导游的介绍得知高处相对安全。,,,,,,,,,,
,,,,5,Can Lino speak English?,"人物属性建模,多模态/多语言推理","No,he can't.",,根据视频中Lino需要他人帮忙翻译的画面和他所说的语言推断。,,,,,,,,,,
29,https://www.youtube.com/watch?v=2bhiiFwUdU8,21:18,测评 - 美妆产品,1,What is Jeffree's favorite foundation product? ,人物属性建模,The Dior air flash spray foundation.,,视频中Jeffree介绍他最喜欢的底妆产品是Dior air flash 喷雾粉底，由此可知。,,,,,,,,,,
,,,,2,What is Jeffree's favorite setting powder product? ,人物属性建模,The Derma blend loose setting powder.,,视频中Jeffree介绍他最喜欢的散粉产品是 Derma blend 散粉定妆，由此可知。,,,,,,,,,,
,,,,3,What makeup steps did Jeffree take before applying the foundation on Shane?,多跳推理,Apply the primer containing real gold flakes.,,视频中最开始是Shane挑选妆前乳，上装妆前乳后再上的底妆，由此可推断。,,,,,,,,,,
,,,,4,"What are the features of the Velour liquid lipstick in the shade ""Hunty""?",通用知识推理,It is waterproof and kiss-proof.,在化妆倒数第二步唇妆是，Jeffree选择裸色的 velour 液体口红 “Hunty” 上唇妆，她介绍这款口红的特点是该口红防水防吻。,在化妆倒数第二步唇妆是，Jeffree选择裸色的 velour 液体口红 “Hunty” 上唇妆，她介绍这款口红的特点是该口红防水防吻。由此可推断,,,,,,,,,,
,,,,5,How much is the 15-color eyeshadow palette of Sunset by Natasha Denona?,"多模态/多语言推理,通用知识推理",It's $129.,在视频眼妆部分，Jeffree介绍使用最新的Sunset Natasha denona 眼影盘，基于视频画面可知是一款拥有15色的眼影盘，基于Jeffree语言介绍产品价格是129美元。,在视频眼妆部分，Jeffree介绍使用最新的Sunset Natasha denona 眼影盘，基于视频画面可知是一款拥有15色的眼影盘，基于Jeffree语言介绍产品价格是129美元，由此可推断。,,,,,,,,,,
30,https://www.youtube.com/watch?v=AtyjyF89eFs,33:05,探索 - 旅行探险,1,What did Luke and his two sons do first when they arrived on the island?,多跳推理,Build a campground.,,根据视频我们可知卢克和他的两个儿子到达阿拉斯加偏远岛屿后第一件事是搭建露营地。,,,,,,,,,,
,,,,2,Are there any fruit trees on Middleton Island?,通用知识推理,No.,米德尔顿岛不适合果树生长。,马克送给了米德尔顿岛上的生物学家一些樱桃，结合他说这些生物学家已经很长时间没有吃到水果了，可推测米德尔顿岛是不适合果树生长的。,,,,,,,,,,
,,,,3,Is Luke someone who dares to explore?,人物属性建模,He has the courage to explore.,,根据马克带着他的两个儿子来到阿拉斯加的荒岛上探险可知。,,,,,,,,,,
,,,,4,How do bird researchers on Middleton Island distinguish the order in which birds lay their eggs?,通用知识推理,Distinguish by marking different colors.,米德尔顿岛上的鸟类研究员通过标记不同颜色来区分鸟儿产下的蛋的顺序。,米德尔顿岛的鸟类研究员向卢克介绍说红色是第一个产下的，蓝色是的第二个，可以推出他们通过标记不同颜色来区分鸟儿产下的蛋的顺序。,,,,,,,,,,
,,,,5,Is Tom a good shot?,人物属性建模,Yes，he is.,,汤姆用枪射中了野兔，他是个射击能力很强的人。,,,,,,,,,,
31,https://www.youtube.com/watch?v=U908K7lMXpk,29:37,探索 - 体验新事物,1,What is Luke's relationship with Becca ?,人物属性建模,They are husband and wife.,,根据卢克和贝卡的交谈和亲密举动可知他们是一对夫妻。,,,,,,,,,,
,,,,2,How many children does Luke have?,多线索推理,There are three children.,,视频中卢克家中出现了三个孩子。,,,,,,,,,,
,,,,3,What are the ambient temperature requirements for painting paint?,通用知识推理,The ambient temperature is high.,油漆粉刷对环境温度的要求。,根据马克在粉刷油漆的时候说这是为数不多的几个足够暖和可以粉刷的日子可推出。,,,,,,,,,,
,,,,4,Is Luke a very hands-on person?,人物属性建模,Yes，he is.,,卢克自己建造了一个水上漂浮船，可以看出他是个动手能力极强的人。,,,,,,,,,,
,,,,5,What is the maximum safe load of a raft related to?,通用知识推理,The type and size of the raft.,木筏的最大安全负载。,根据马克对木筏最大安全负载的解释，提到了用垃圾箱做木筏，用到了多少个垃圾箱可推出。,,,,,,,,,,
32,https://www.youtube.com/watch?v=K4MhCvraJeE,20:05,探索 - 体验新事物,1,What is Stephanie's occupation?,人物属性建模,Specialists in the study of endangered wolf species.,,根据Coyote介绍可知斯蒂芬妮是研究濒危狼物种的专家。,,,,,,,,,,
,,,,2,Does the fennec fox need extra water in addition to eating?,通用知识推理,Fennel foxes do not require additional water.,"耳廓狐需水量少,除了进食时吸收水分之外不需要额外补充水分。",根据斯蒂芬妮介绍耳廓狐甚至一生都找不到饮用水，仅靠植物中的水便可以生存，可推出耳廓狐的需水量少，除了进食时吸收水分之外不需要额外补充水分。,,,,,,,,,,
,,,,3,Who is Daisy?,多模态/多语言推理,She is a fennec fox.,,纳齐尔拿着食物嘴里叫着黛西，镜头转向一只耳廓狐，结合视觉，可知黛西就是一只耳廓狐。,,,,,,,,,,
,,,,4,What sounds are fennec foxes more sensitive to?,通用知识推理,A shrill voice.,耳廓狐对尖细的声音很敏感。,当纳齐耳用尖细的声音对耳廓狐说话时，耳廓狐会向他靠近。,,,,,,,,,,
,,,,5,Does Regina have extensive expertise?,人物属性建模,"Yes,she is.",,根据Regina指导纳齐尔的过程中可知她具有丰富的专业知识。,,,,,,,,,,
33,https://www.youtube.com/watch?v=iNPX0IGHR4c,20:36,教学 - 技能,1,What structure can reinforce the wheel well area?,"多模态/多语言推理,通用知识推理", An I-beam.,I型梁是一种常用的结构设计，具有高强度和抗弯能力。I型梁的设计能够最大程度地分散和承受压力，特别适用于需要承受弯曲负载的区域。,视频内容：Chris介绍fish house上车轮井的设计时提到他们选用了I型梁这种牢固的结构。——>推理：车轮井区域的结构设可以选用I型梁。。,,,,,,,,,,
,,,,2,Why use a 2×3 frame for building a Fish House?,通用知识推理," Lighter than 2×4, stronger than 2×2, suitable for transport.",2×4框架、2×3框架 和 2×2框架 表示木材的木材规格，单位是英寸（inch），通常用于建筑结构中的框架搭建。,视频内容：Chris将2×4框架、2×3框架和2×2框架进行对比，指出论坛上广受好评的2×2框架只适用于小型建筑，不能满足公路运输的需求。——>推理：Fish house这种大型设备需要使用2×3框架，因为2×3框架比2×4更轻，比2×2更坚固，适应公路运输。,,,,,,,,,,
,,,,3,Is Chris a humurous blogger ?,"多线索推理,人物属性建模","Yes, he is.",,视频内容：在视频制作中，Chris为视频增加了外星人送来材料的特效和板材很沉的戏剧情节。——>推理：Chris是一个幽默的博主。,,,,,,,,,,
,,,,4,Is woodworking a family tradition in Chris's family?,人物属性建模,"Yes, it is.",,视频内容：Chris提到Randy（Chris的爷爷）、他的爸爸和自己都从事木工制作。——>推理：，在Chris家从事木工制作是一种家庭传统文化。,,,,,,,,,,
,,,,5,What did Chris and his father do before cutting the wood?,多跳推理,They lifted all the wood to the second floor.,,模型需要定位到与切割木材相关的片段，然后结合前后内容进行分析。,,,,,,,,,,
34,https://www.youtube.com/watch?v=ny2jWBwKYXo,28:25,测评 - 其他,1,"Is the relationship between Kara and Nate “intimate” or “distant""? ",人物属性建模,Intimate.,,通过观察视频里，Kara和Nate的互动，如眼神言语等细节，由此可知两人的关系是情侣，而非陌生。,,,,,,,,,,
,,,,2,Why doesn't Saudia serve or allow alcohol on its flights?,通用知识推理,Because Saudi Airlines(Saudia) is a dry airline.,干航空公司是指飞行中不提供酒精饮料服务，甚至禁止乘客携带酒精饮品登机的航空公司，通常是因所在国家或地区的文化、宗教、法律等因素而如此规定。,通过定位到开头Kara说道这是自己在上飞机前的最后一次喝酒，那是因为Saudi Airlines是一家干航空公司，在飞机上不允许也不提供酒精饮料的服务。,,,,,,,,,,
,,,,3,Is Kara's personality lively or introverted?,"多线索推理,人物属性建模",Lively.,,通过观察Kara的行为，如夸张的表情、丰富的语言等细节，由此可知，Kara的性格是活泼开朗的。,,,,,,,,,,
,,,,4,Is there a time limit for passengers in the first class of Saudia when dining? ,通用知识推理,No.,沙特航空（Saudia）头等舱的用餐服务以“无时间限制”为核心优势。乘客可在飞行中的任何阶段（除起飞/降落等关键阶段）要求供餐，无固定餐次限制。例如：凌晨2点可要求现做阿拉伯早餐或烤羊排。,通过定位视频里Kara介绍菜单的片段，说道在整个飞行过程中几乎可以随时随地点餐。由此可知，其用餐是没有时间限制的。,,,,,,,,,,
,,,,5,What did Nate order for himself after having dinner? ,多跳推理,A piece of cheesecake and a cup of tea.,,通过定位到视频里，当Kara和Nate吃晚餐的片段后，即可知Nate在之后给自己又点了一块芝士蛋糕和一杯茶。,,,,,,,,,,
35,https://www.youtube.com/watch?v=fjQ_zNoclO4,26:32,vlog - 居家,1,What does the blogger have an allergic reaction to?,人物属性建模,Wool,,博主说她的皮肤排斥羊毛，任何一点的羊毛都会使她湿疹发作，可推出,,,,,,,,,,
,,,,2,What kind of person is the new landlord?,人物属性建模,Generous,,博主说房东送给她一个私人桑拿房作为乔迁礼物，可见房东是一个慷慨的人,,,,,,,,,,
,,,,3,Where did Ashley sleep?,多模态/多语言推理,On the sofa,,定位到博主和 Ashley 打招呼的片段，利用视觉可知 Ashley 在沙发上睡觉,,,,,,,,,,
,,,,4,What are the drawbacks of the felt clothes hanger?,通用知识推理,The felt clothes hanger will break,毛毡衣架有会断裂的缺点,博主说她觉得毛毡衣架很舒服，但它们会断裂，可推断出,,,,,,,,,,
,,,,5,What services does Roadway offer?,通用知识推理,Move house,Roadway提供搬家服务,定位到视频开头，博主提到”我们会在Roadway的帮助下把东西都搬出去“，”他（Jack）总是自己搬家，我作为一个专业人士让专业人士去做这个“，可推断出,,,,,,,,,,
36,https://www.youtube.com/watch?v=fNHBNL52YAc,33:03,vlog - 运动,1,"What brand is ""Care/of""?",通用知识推理,Wellness brand,Care/of是健康护理品牌,定位到介绍Care/of的片段，博主提到”你们可能没听说过Care/of，这是一个健康护理品牌，生产高质量的维生素、蛋白质和营养剂“，可推断出,,,,,,,,,,
,,,,2,"Which is more difficult, doing abdominal exercises on the bed or on the floor?",通用知识推理,On the bed,在床上做腹部训练比地板上难,博主说她因为这些床上腹部训练会比较放松，实际上它们比在地板上更难，可推断出,,,,,,,,,,
,,,,3,What is Anna's personality like?,"人物属性建模,多模态/多语言推理",Active,,从视频中Anna吃甜点时在镜头前跳舞可以看出Anna是一个性格活泼的人,,,,,,,,,,
,,,,4,What is the relationship between the blogger and Andrew?,"人物属性建模,多模态/多语言推理",Couple,,视频开头片段博主说Andrew在自己额头上留下了吻痕，结合视频片段可以看出二人住在一起，可推断出二人是夫妻,,,,,,,,,,
,,,,5,What did the blogger do after completing the warm-up exercises?,多线索推理,Bed abdomen workouts,,结合视频片段可以看出博主做完热身运动做了床上腹部训练,,,,,,,,,,
37,https://www.youtube.com/watch?v=WnCMvZ-Rv0k,24:46,vlog - 居家,1,"When ordering takeout from Super Noodles, are the side dishes and noodles packed separately or together?","多线索推理,多模态/多语言推理,通用知识推理",Separately,Super Noodles店内的食物外带时配菜和面条是分装的,定位到博主买面条的片段，听觉得知店名，视觉博主回家后吃面时面与配菜是分装的，可得到答案,,,,,,,,,,
,,,,2,Does the blogger like the kind of clothes that expose the navel?,人物属性建模,No,,博主买了一个很合身的衣服，她说衣服很合身，但她希望它可以更长一点，还说自己的肚子露出来了，这是难看的合身，可推断出,,,,,,,,,,
,,,,3,Where did the blogger purchase a trash can?,多线索推理,At ROSS,,从视频片段可以看出博主去了一家名为ROSS的超市，在展示衣服时介绍了自己放在购物车的粉色垃圾桶,,,,,,,,,,
,,,,4,Who is Liz?,"人物属性建模,多模态/多语言推理",The blogger's sister,,利用听觉，博主说自己的姐姐给自己挑了一件衣服，后面博主让Liz展示自己挑的衣服，利用视觉可知给博主挑衣服的就是Liz，可推断出,,,,,,,,,,
,,,,5,Should the price tags of MarsShalls be affixed to the goods themselves or on the shelves?,通用知识推理,To the goods themselves ,MarsShalls的价格标签在商品上贴着,定位到博主看包的片段可以看到包包上有MarsShalls的标签，推断出商店名字为MarsShalls，利用视觉可知商品的标签都在商品上贴着,,,,,,,,,,
38,https://www.youtube.com/watch?v=xf2DPY3vGto,20:22,测评 - 电子产品,1,"After comparing the battery capacity of the phones, what did the blogger compare?","多线索推理,多跳推理",Camera,,定位到对比手机电池的片段，跟踪博主行为可得到答案,,,,,,,,,,
,,,,2,"In terms of mobile phone batteries, what does the blogger value more?","人物属性建模,多模态/多语言推理",Battery capacity,,视频前面提到iPhone13pro电池容量比三星22Ultra大，在比较充电速度和电池容量的优势时，右边博主指着iPhone说这是自己真正信任的手机，所以右边博主更看重电池容量,,,,,,,,,,
,,,,3,What is the proportion of recycled materials used on average in Apple devices?,通用知识推理,Twenty percent,苹果设备平均使用20%的回收材料,定位到比较环保方面的片段，博主提到，苹果设备平均使用20%的回收材料，可得到答案,,,,,,,,,,
,,,,4,What aspect of the mobile phone camera does Marquez pay more attention to?,人物属性建模,Stability,,Marquez提到自己喜欢iPhone的相机，在右边博主介绍过安卓手机在相机上更优秀的几个点后Marquez说自己余生都会选择最稳定可靠的，可推荐出,,,,,,,,,,
,,,,5,How does Apple's performance in environmental protection compare to that of Android devices?,通用知识推理,Better,iPhone比安卓机更环保,博主提到iPhone平均使用20%的再生材料，这是目前行业中最多的，并且苹果公司打算在2030年达到碳中和，比大多数其他手机公司更早,,,,,,,,,,
39,https://www.youtube.com/watch?v=zyUqg2FBO-I,22:12,测评 - 电子产品,1,Is Linus good at assembling computers?,人物属性建模,"Yes, he is.",,找到作者安装电脑的片段，并得出答案。,,,,,,,,,,
,,,,2,Does the author prefer more cost-effective computers?,人物属性建模,"Yes, he favors PCs with good price-performance ratio.",,找到作者谈论电脑价格的片段，并据此得出答案。,,,,,,,,,,
,,,,3,Why does the order of inserting RAM sticks affect performance?,"多线索推理,多模态/多语言推理,通用知识推理","Inserting them in the wrong order may disable dual-channel mode, leading to reduced performance.",内存条插入顺序错误会导致双通道失效，从而影响性能。,找到相关发现性能受损的片段，并根据多条线索推理出答案。,,,,,,,,,,
,,,,4,Will removing the protective film on the heatsink inside the case affect performance?,"多模态/多语言推理,通用知识推理",No.,散热器上的保护膜，撕不撕主要影响美观和散热器长期积灰，但对显卡的散热和性能无直接影响。,找到作者撕下散热器保护膜的片段，并根据当段的画面与语音推理出答案。,,,,,,,,,,
,,,,5,Why the first person to recognize the author felt that today was his lucky day?,多线索推理,Because he is the fan of the author.,,找到相应片段，并根据对话与画面判断出答案。,,,,,,,,,,
40,https://www.youtube.com/watch?v=IA9LlfQ9X-Q,26:24,测评 - 生活用品,1,What does the author think about endoscopy?,人物属性建模,Pretty useful.,,找到作者试用内窥镜的片段，并据此得出答案。,,,,,,,,,,
,,,,2,Why do some products in YouTube ads completely disappear after a while?,通用知识推理,Because those low-quality items get taken down.,视频网站上的广告有些是低劣商品，面临着随时下架的风险。,找到相关购买网站上广告中商品的片段，并据此推理出答案。,,,,,,,,,,
,,,,3,What is the relationship between these two video creators?,"多线索推理,人物属性建模",They are the bosses and employees.,,通过视频整体各个线索可以推理出两人之间的关系。,,,,,,,,,,
