视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,6,Are there fewer than four instruments in the carnegiehall in this video?,多线索推理,No,,需要仔细观察整个音乐厅里的物品，尤其是没有被老师展示过的，放在讲台后面的。老师展示了铃鼓、马林巴琴、军鼓，身后还有锣和镲子，肯定不止4种乐器。,,,,,,,,,,
,,,,7,Are the main donors to NYO2 from private or public institutions?,通用知识推理,Private,Public support只有National Endowment for the Arts一个，说明NYO2的主要资金来源来自private而不是public。,视频结尾的字幕列出了NYO2的感谢名单，有Lead Donors、Leadership Support和Additional Funding，这几个基本都是基金会和个人大额捐赠。,,,,,,,,,,
,,,,8,How many people in Carnegie Hall in this video are wearing glasses?,多线索推理,One,,需结合上台表演的几个人，以及远景拍摄所有人的片段，只有以为女孩戴着眼镜。,,,,,,,,,,
,,,,9,"If you don't want to disturb others too much when you practice snare drum, can you put a towel on the drumhead?",通用知识推理,Yes,蒙上毛巾可能改变了共鸣腔体，如果自己练鼓的时候不想声音太尖锐太响，可以放一条毛巾上去。,老师在教授女孩的时候，把一条黑色的毛巾放在鼓面上，击鼓的声音立马就变闷变小了。,,,,,,,,,,
,,,,10,Is Jacob wearing a watch?,多模态/多语言推理,Yes,,Jacob穿的是长袖上衣，不是每个镜头都能看见他的手表，注意几个他打鼓的镜头，有露出手表。,,,,,,,,,,
26,https://www.youtube.com/watch?v=CoNchoFOMYA,27:32,教学 - 课堂互动,1,"Besides Mr. Todnem, who was the second student to toss the tennis ball in the first round?",多线索推理,Mark,,视频开头老师先把网球扔给了特蕾莎，然后特蕾莎再扔给Mark，Mark有继续传递，所以他是第二个传球的。,,,,,,,,,,
,,,,2,Is Todnem an enthusiastic and lively man?,人物属性建模,Yes.,,模型需追踪Todnem的神态和动作，Todnem总是面带微笑，并且有着丰富的肢体语言，可推断他是个热情、活泼的人,,,,,,,,,,
,,,,3,Is Mr. Todnem a fun or boring man?,人物属性建模,fun.,,他总能逗得学生哈哈大笑，还模仿起大家传球的样子，非常滑稽。,,,,,,,,,,
,,,,4,Is Theresa the first one to receive Mr. Todnem's tennis ball in every round?,多线索推理,Yes.,,每一轮接球顺序都要记录，老师每次都把球第一个扔给特蕾莎。,,,,,,,,,,
,,,,5,Did Mr. Todnem take out the ping-pong ball directly after completing the ball tossing game?,多跳推理,No.,,同学们顺利完成抛接球之后，老师没有马上拿乒乓球作对比，而是先用剪刀戳破网球，来阐释一些道理。,,,,,,,,,,
,,,,6,Does calling out the place name while passing the tennis ball help focus?,通用知识推理,Yes.,老师认为喊一个人的名字让人感到被重视，而想不起名字容易感到孤独，所以被喊了名字的人精神上更愿意拿出时间来回应别人，注意力更集中。,前两轮传球出现了一点儿混乱，老师借助一个5年级老同学相见的例子，来说明喊别人名字的重要性，学生们在下一轮喊名字传球的表现也更好了。,,,,,,,,,,
,,,,7,Which type of ball has great resilience?,通用知识推理,Tennis.,本节课的主题就是resilience，老师在课程的introduction环节说到“提到resilience的话，即物体受到压力形变后能快迅速恢复如初的能力，那么tennis是个很好的例子”可见tennis具有很强的resilience,模型可根据课堂主题resilience和全程使用的教具tennis间的关系，推理出答案,,,,,,,,,,
27,https://www.youtube.com/watch?v=6WDk8ueDqG8,25:49,测评 - 工具/机械,1,Does Ollie know a lot about technical expertise in operating off-road features?,人物属性建模,Yes.,,Ollie 在测试中主导了差速锁、分动箱和悬挂系统的详细操作说明（如 Grenadier 的涉水模式设置），并多次解释机械原理（如离地角对通过性的影响），显示其更深的技术背景。,,,,,,,,,,
,,,,2,What is Tom's primary professional role?,人物属性建模,Automotive evaluator.,,Tom 在测试越野车性能，讨论车辆机械结构、测试结果及驾驶体验，并最终给出排名。他使用专业术语（如涉水深度、差速锁、接近角），并通过实地测试评估车辆，符合汽车评测人员的职业特征。,,,,,,,,,,
,,,,3,What test comes after the bomb crater test?,多跳推理,Rock Crawl.,,模型先定位到炸弹坑测试的相关片段，再定位到演示爬行的相关片段。,,,,,,,,,,
,,,,4,How to prevent water ingress into radiators during wading?,通用知识推理,Disable cooling fans.,视频中提到 Grenadier 的涉水模式会主动关闭散热风扇，避免因风扇运转吸入更多水至散热器。这是通过系统逻辑而非驾驶员手动操作实现的保护机制。,根据食品中的语言信息，在Grenadier的涉水模式中，系统会关闭风扇以避免吸入更多水到散热器。,,,,,,,,,,
,,,,5,"Considering durability and cost, is it better to choose Land Cruiser or Defender?",通用知识推理,Land Cruiser.,Land Cruiser速锁反应迅速，悬挂柔韧兼顾通过性与舒适性，唯一未出现底盘磕碰。在公路行驶2.8L柴油机噪音明显，但底盘震动控制优于对手，油耗最低（29mpg），所以选择Land Cruiser。,根据视频信息Land Cruiser速锁反应迅速，悬挂柔韧兼顾通过性与舒适性，唯一未出现底盘磕碰。在公路行驶2.8L柴油机噪音明显，但底盘震动控制优于对手，油耗最低（29mpg），所以推理得出结论是Land Cruiser更好。,,,,,,,,,,
28,https://www.youtube.com/watch?v=aiySQODl36g,42:25,教学 - 工业制造,1,Is edible oil the only thing on display at the US soybean show?,通用知识推理,No,Leanne一家前往美国大豆展会观展，我们可以看到leanne在展会上向我们介绍了机油、奶酪、植物油、大豆油等，由此可知，该展会并不是只有食用油。,模型需定位到leanne一家参加美国大豆展会的片段，片段中leanne向我们介绍了很多展出的油的种类以及奶酪等，不仅有食用油，还有机油。,,,,,,,,,,
,,,,2,Is estradiol growth hormone used in the European livestock industry?,通用知识推理,No,视频中介绍到生长激素中还有雌二醇对健康有风险，这种激素在上世纪八十年代就被欧洲禁止使用了，由此可知现在欧洲牧场不会使用这种生长激素。,模型需定位到瑞安给牛的耳朵注射生长激素的片段，视频中介绍了这种激素的成分，并表明欧洲禁止使用，由此可知，欧洲畜牧业不会使用这种生长激素。,,,,,,,,,,
,,,,3,Is Ryan a profit-oriented person or a person who loves animals more?,人物属性建模,a profit-oriented person,,模型需定位到布雷特和瑞安商议牛的体重的片段，片段中二人的看法一致，他们想让牛的体重五个月内增长一倍，这样就可以拥有更多的英镑佣金，由此可知，瑞安是一个利益导向者。,,,,,,,,,,
,,,,4,Is Charlie a weak child or a capable child?,人物属性建模,capable,,模型需定位到介绍查理的片段，片段中介绍查理年仅13岁，却能开着25万美元的拖拉机在农场作业，这表明查理是一个能干的孩子并不柔弱。,,,,,,,,,,
,,,,5,What color is the syringe Ryan uses to inject hormones into cattle?,多模态/多语言推理,purple,,模型需定位到瑞安给牛的耳朵注射生长激素的片段，通过观察可以看到是紫色的注射器。,,,,,,,,,,
29,https://www.youtube.com/watch?v=fuVU64m1sbw,24:15,测评 - 服装,1,"Which is better in terms of longevity and durability, longer or shorter stiches?",通用知识推理,Shorter stitches are better.,博主提到过快时尚制造商为了节省时间把针脚做的很长，但是这样做成的衣服并不结实，因此短针脚让两片面料更充分地接触，能让衣服更耐穿。,模型可以定位到stitches这一部分，博主对长针脚和短针脚做了全面的比较，短针脚需要更多时间投入，也让衣服更耐久。,,,,,,,,,,
,,,,2,What is the minimum width of zippers for taking strains properly?,多跳推理,4mm.,,模型可以定位到zipper的部分，博主详细解释了拉链边缘的宽度，4mm以下为不合格。,,,,,,,,,,
,,,,3,What's the significance to leave a bigger seam allowance?,"多线索推理,通用知识推理",It allows for future alteration or customizing to fit.,博主在两个片段提到了留出足够缝边的重要性，买来的衣服尺寸不一定合身所以需要修改，或是日后身材发生变化，也需要修改，因此缝边留多一些，改的余地就更大。,模型可以定位到博主解释缝边留存的片段，多留一些主要是为了方便修改。,,,,,,,,,,
,,,,4,What are the flaws of serging?,多线索推理,Not strong enough and leaving too many float threads.,,模型可以定位到博主讲到serging的片段，她提到这是一种图省事的方法，弊端一是不结实，二是会留下很多线头。,,,,,,,,,,
,,,,5,What is Bernadette's specialty as a fashion vlogger?,"多线索推理,人物属性建模",Tailoring skills.,,博主对于衣服的塑形、材料成分和缝纫都非常了解，在一个片段里她的桌上摆着衣服的部件，即将被缝合在一起，在她对自己频道里，她也提到会有一些教大家缝纫的视频。,,,,,,,,,,
,,,,6,What does Bernadette pay attention to when she buys clothes?,"多线索推理,人物属性建模","Structural integrity, fiber content and constructional details.",,博主多次提到买衣服要注重quality，具体来说就包括这几方面。,,,,,,,,,,
30,https://www.youtube.com/watch?v=YsMHZ6cl0u4,22:18,纪录片 - 自然,1,Is Dan an optimistic or pessimistic person?,人物属性建模,Optimistic.,,模型需要对Dan进行识别追踪，通过Dan和Musta去matobo national的路上，车在半路抛锚，Dan没有对此抱怨，而是在路边为Musta唱起了歌的片段，模型可推断Dan是一个乐观的人。,,,,,,,,,,
,,,,2,What do you need to apply for beforehand If you want to use a drone for filming when traveling to Zimbabwe?,通用知识推理,Drone flying license.,Dan和Musta携带无人机去往津巴布韦的机场，因为没有向津巴布韦报备需要携带无人机，没有获得无人机飞行许可证而被机场工作人员扣押无人机，因此推断，在津巴布韦使用无人机，首先需要获得无人机飞行许可证,模型需定位到Dan和Musta在机场因为没有无人机飞行许可证而被机场工作人员扣押无人机的片段，因此模型可推断，在前往津巴布韦旅游时需要使用无人机，需要向津巴布韦提前申请获得无人机飞行许可证才可以使用无人机。,,,,,,,,,,
,,,,3,Does Musta prefer city life or life in the natural countryside?,"多线索推理,人物属性建模",Life in the countryside.,,模型需要识别Musta，并对Musta进行持续追踪，通过Musta在津巴布韦老家的生活状态以及Musta在视频中多次提及自己在城市生活并不如在津巴布韦乡村，模型可推断Musta更喜欢在乡村的生活,,,,,,,,,,
,,,,4,Which type of tree in Zimbabwe can be used to make rugs?,通用知识推理,Baobab tree.,Musta在欣赏津巴布韦市场上摊主贩卖的毯子时提到猴面包树的纤维是津巴布韦人民编织毯子和毛毯的原材料，因此推断，在津巴布韦，猴面包树可以用来编织毯子和毛毯。,模型需要定位到Musta在欣赏津巴布韦市场上摊主贩卖的毯子的片段，通过Musta的话语可知，猴面包树的纤维是毯子的原材料，模型可以推断津巴布韦的猴面包树可以用来编织毯子和毛毯。,,,,,,,,,,
,,,,5,How many days in advance must you apply to get security clearance for a drone in Zimbabwe?,多模态/多语言推理,30 days.,,Musta在向观众解释在津巴布韦使用无人机需要提前申请等相关规定时，视频画面中出现了官方网页中表明至少需要30天提前进行申请的图片，模型需要结合多模态，即Musta说需要提前申请的听觉以及结合视觉即画面中需要提前申请的天数对问题进行回答,,,,,,,,,,
31,https://www.youtube.com/watch?v=iUyKro5yg_c,20:22,街头互动 - 社会观察,1,Why does rain ruin the fun of the Newton Festival?,"多模态/多语言推理,通用知识推理",The festival is mainly based on outdoor activities.,根据视频内容可以发现Newton Festival是大型的户外活动，摊位露天设置，易受天气干扰，故可以推出活动是户外的易受天气的影响。,模型需要先定位视频作者的饮品，他说“开始下雨了…如果它掉下来我们就有麻烦了”，这明确担忧雨水。然后结合视频内容，画面中的摊位多为露天。“雨的担忧”“摊位户外”必然会导致“乐趣受损”，推测天气对节日户外活动的影响。,,,,,,,,,,
,,,,2,Why does Newtown Festival have so many food stalls?,"多跳推理,通用知识推理",To cater to diverse cultural needs.,通过视频的内容可以看到节日当天有各式各样的小吃摊，音频具体提到有很多不同种族的人不同的文化，例如”这是大熔炉“、”你是菲律宾人，你可能得到······一些咖喱咖喱“具体提及异国美食，必然迎合不同文化背景，故可以推出满足多元文化的需要。,首先模型需要根据音频内容判断小吃摊位数量是否很多，其次根据音频内容“有很多不同种族的人不同的文化”、“这里有很多小吃摊位”、具体提及的异国美食进行综合判断，进而推出原因。,,,,,,,,,,
,,,,3,Is Katie a lively and sociable person?,人物属性建模,Yes.,,"模型需要定位到凯蒂的话，在视频中她积极主动的介绍自己，并且说话也比较热情，“Newton Festival很棒""、“今天这里的氛围很活跃 每个人都很开心”、“大家······来吃点东西，玩得开心”，热情邀请，显示善于与人互动。模型需要综合这些细节进行判断。",,,,,,,,,,
,,,,4,Is the blogger an introvert or extrovert?,人物属性建模,He is a extrovert.,,模型需要综合关于叙述者在视频中的多条音频线索和画面内容，在视频中，他与路人讲话比较主动，例如“嘿兄弟，最近怎么样”、“伙计们，发生了什么事”，展现出热情外向性格。,,,,,,,,,,
,,,,5,What color are the volunteers' vests?,多跳推理,Pink.,,模型首先需要区分出人群中的志愿者，然后判断他们身上马甲的颜色。,,,,,,,,,,
32,https://www.youtube.com/watch?v=TJys7OVH24E,20:49,访谈 - 静态（对话密集型，少量视觉信息）,1,What is Paty Wida Kusara's nationality?,"多线索推理,人物属性建模",Indonesian.,,文中提到Paty Wida Kusara是一个“a native of Indonesia”，且在印尼独裁时期成长，推断其国籍为印尼。,,,,,,,,,,
,,,,2,Who is interviewed after Kamala Harris?,多线索推理,Tim Walls.,,模型需定位到Harris结束采访的片段，并追踪视频画面，得出下一位被采访者是Tim,,,,,,,,,,
,,,,3,What causes the American people cannot feel happiness?,通用知识推理,Food price.,在视频中，主持人说到美国是世界上最先进的国家，失业率历史最低，各方面经济都稳中向好，政府也将会颁布禁令，控制食物杂货税的提升，可见控制食物税是将来要做的事，而当前的税仍然较高，而这又是民众最能感受到的事情，推断出食品价格是影响美国人幸福感的原因,模型需定位到食物税片段，并根据控制食物税是将来要做的事，推出当前的税仍然较高，因此食品价格是影响美国人幸福感的原因,,,,,,,,,,
,,,,4,Does the Democratic Party in the United States have a positive or negative impression of the Republican Party？,通用知识推理,Negative impression.,"Tim是一名民主党人士，作为明尼苏达州的州长，他的地位很高，因此他的看法就代表了很大一部分民主党人的看法，Tim直言共和党很“werid”,他们只关注人们的私生活，编造莫须有的事，因此可见民主党对共和党持有消极影响",模型首先需确定Tim的身份，再由Tim对共和党的评价推断出整合民主党对共和党的印象,,,,,,,,,,
,,,,5,Do Harris and Tim have same or different attitude towards gun?,"多线索推理,人物属性建模",Different.,,在采访Harris的片段，Harris说到自己家里有把枪，并且还开过，而在采访Tim的片段，主持人表示Tim是一位坚定的禁枪者，可见二人对枪的态度是截然不同的,,,,,,,,,,
33,https://www.youtube.com/watch?v=bqmuLa9WQB4,27:36,街头互动 - 社会观察,1,"What kind of dating method does Elsc prefer, online or offline? ",人物属性建模,Offline.,,模型需要定位Elsc说话的片段，根据片段中她对线上交友软件的评价可知她不喜欢线上约会，更喜欢面对面的交流。,,,,,,,,,,
,,,,2,Where is Ben likely to be from? ,"人物属性建模,多模态/多语言推理",The United States.,,模型需要定位Ben接受采访的片段，根据听觉听出Ben的口音是美式英语，再根据视觉看到他穿的背心上印着美国国旗的图案和USA的标志，由此可推测Ben可能来自美国。,,,,,,,,,,
,,,,3,Is young people's general perception towards dating apps positive or negative? ,"多线索推理,通用知识推理",Negative.,视频中几乎每个被采访者都对线上约会软件感到失望或厌恶，认为线上的软件使约会越来越困难，因此他们对这种软件普遍持消极态度。,模型需要分析整个视频，根据被采访者对线上约会应用的评价归纳出他们普遍持消极态度。,,,,,,,,,,
,,,,4,What culture is popular among young people in the UK? ,通用知识推理,"Dancing, drinking and smoking culture.",视频中Max说自己因为想逃离英国的跳舞、喝酒、抽烟文化所以加入了跑步俱乐部，由此可知在英国跳舞、喝酒、抽烟文化很盛行。,模型需要定位Max和Emily接受采访的片段。感觉片段中Max的话可推测跳舞、喝酒、抽烟文化在英国年轻人中很流行。,,,,,,,,,,
,,,,5,How many men did Elliot interview? ,多线索推理,Five.,,模型需要分析多个片段中的画面，识别并统计出现了几名男性，可看到一共出现了五名男性。,,,,,,,,,,
34,https://www.youtube.com/watch?v=41YaR56hwhQ,24:07,街头互动 - 表演,1,Are street performers allowed in Greeley Square? ,通用知识推理,Yes.,视频中Reggie说自己之前在另外一个地方表演但是被赶走了，于是到了这里，已知这里是greeley square，因此greeley square允许街头艺人表演。,模型需要定位Jason出现的片段，片段中Reggie说自己之前在另外一个地方表演但是被赶走了，于是到了这里，已知这里是greeley square，因此greeley square允许街头艺人表演。,,,,,,,,,,
,,,,2,What sports facilities are there at Greeley Square? ,通用知识推理,Ping-pong tables.,通过Reggie身后的垃圾桶上的字“greeley square”可知地点是在greeley square，然后根据片段中有人打乒乓球的画面可知在greeley square设置了乒乓球桌供大家打球。,模型需要通过画面中的相关字样识别出他们是在greeley square，再根据画面背景中人们在打乒乓球可知greeley square有乒乓球桌。,,,,,,,,,,
,,,,3,How many people sang with the blogger? ,多线索推理,Four.,,模型需要通过多个画面，判断有几个人唱了歌，统计得出一共有四个人唱了歌。,,,,,,,,,,
,,,,4,What is Quiora's favorite color? ,"人物属性建模,多模态/多语言推理",Pink.,,模型需要定位Quiora说话的片段，片段中根据视觉可以看到Quiora的头发和背包都是粉色的，根据听觉听到她说自己处在一个盒子（舒适圈）里，这个盒子还是粉色的，由此可知她很喜欢粉色。,,,,,,,,,,
,,,,5,Is Carla married? ,人物属性建模,Yes.,,模型需要定位Carla的片段，片段中她提到如果老公问她为什么回家迟了，她就说自己在街角唱了歌，由此可知Carla有老公，因此已经结婚了。,,,,,,,,,,
35,https://www.youtube.com/watch?v=JT3KFzGFIzM,21:44,vlog - 特殊事件,1,Is the cocktail in Sweden's Ice hotel very popular or not?,通用知识推理,It's very popular.,这是博主第二次来到瑞典的ice hotel，他发现酒店的鸡尾酒菜单有整整一页，而他三年前第一次来时只有三四种鸡尾酒，由此可推断，这的鸡尾酒很受游客欢迎,模型需定位到鸡尾酒片段，通过对比前后鸡尾酒的可选择数量的变化，推断出这的鸡尾酒很受游客欢迎,,,,,,,,,,
,,,,2,Is a cocktail liquid or solid at temperatures below zero？,"多模态/多语言推理,通用知识推理",Liquid.,Simon点完鸡尾酒后，发现盛酒的杯子是用河水冻起来的，并且从卖酒员的着装来看，售卖鸡尾酒的地方为零下温度，但此时倒出的鸡尾酒并没有结冰，还是液态的,模型需根据盛酒的杯子和服务员的装扮判断出是零下环境，再由倒出的鸡尾酒的状态得出答案,,,,,,,,,,
,,,,3,Is Simon a person who can stand coldness?,"多线索推理,人物属性建模",Yes.,,"在零下20度的气温里，Simon选择这二次来到这家ice hotel,并且还在冰屋点了一杯冰鸡尾酒，全程Simon都很活泼，没有任何不适，由此可推断他是个可以忍受寒冷的人",,,,,,,,,,
,,,,4,What kind of room is Simon used to choosing when he booked a hotel?,人物属性建模,Deluxe Suite.,,Simon两次选择房间时全是选的豪华套房，并且他说豪华套间总是能带给他不一样的体验，由此可推断预定酒店时，他习惯选择豪华套间。,,,,,,,,,,
,,,,5,What did Simon do after just entering the hotel and watching the ice sculpture？,多跳推理,Drinking a cocktail.,,模型需定位到博主刚进酒店时的经理，随后追踪博主行动，得出答案,,,,,,,,,,
36,https://www.youtube.com/watch?v=Cpevu80LZ5o,28:25,纪录片 - 人文,1,Are the herbs from the hillsides around Pentedattilo edible or inedible?,"多线索推理,通用知识推理",Edible.,罗塞拉经常在山坡上采摘草药，这些草药是野生的，虽然这里环境干旱无法种植其他农作物，但是这些草药就是大自然的馈赠。随后她回到家中开始将这些野生草药切开与其他食物混合在一起吃，由此可知这些草药是可以食用的。,模型需定位到罗塞拉在山坡上采摘的片段，她学会了利用大自然的一点点馈赠，野生草药是她经常采摘的。随后她回到家中开始将这些野生草药切开与其他食物混合在一起吃，由此可知这些草药是可以食用的。,,,,,,,,,,
,,,,2,Are there frequent geological disasters in Pentedattilo?,通用知识推理,Yes.,经历过几次山体滑坡后，这个村庄最终在二十世纪七十年代被废弃，由此可知，该地经常有地质灾害。,模型需定位到介绍村庄遗弃的原因，由于山体滑坡很多次，人们不得不全部搬离这座城市。由此可知，这个地方经常会有地质灾害。,,,,,,,,,,
,,,,3,Is Rosek a person who pursues secular success?,人物属性建模,No.,,模型需定位到讲述罗塞拉之前工作的片段，她辞去了政府的工作生活在这个废弃的村庄，同事们为此感到惊讶，但她却觉得这让她的人生感到自由。由此可见她不是一个追求世俗成功的人,,,,,,,,,,
,,,,4,Is Maca an ambitious person or a person who is content with his status quo?,"多线索推理,人物属性建模",An ambitious person.,,模型需定位到介绍maca的片段，离开马里后他在阿尔及利亚，尼泊尔等多地打零工维持生计，但他的最终目标是欧洲。并且罗塞拉表示他不怕辛苦也很善良，说明他是一个有野心的年轻人。,,,,,,,,,,
,,,,5,Is the abandoned house in Pentedattilo made of wood，brick or stone?,"多模态/多语言推理,通用知识推理",Brick and stone.,由视觉可知意大利的废弃村落的房屋掉落墙皮处露出了砖头，也有些废弃房屋则是石头堆砌而成，可知这些房屋不是木制的，而是由砖和石头搭建而成的。,模型需定位到视频一开始拍摄意大利的废弃村落的房屋的视频片段以及后续罗塞拉在其他废弃村庄的片段，通过观察可知房屋的掉落的墙皮露出了砖头，有些则是石头堆砌而成，可知房屋不是木制的。,,,,,,,,,,
37,https://www.youtube.com/watch?v=Jib4xaBKMCI&t=312s,23:23,教学 - 运动,1,What's one of the Mouratoglou Tennis Academy's sponsors?,"多模态/多语言推理,通用知识推理",Dunlop.,"邓禄普是一家知名企业，出现在挡板上应该就是赞助商了，至于还有没有其他赞助商并不清楚,但可确定的是邓禄普是赞助商之一。",训练场的四周挡板上都写着Mouratoglou Academy和Dunlop，能确定这里是一家网球学校，Dunlop跟这家学校有关系。,,,,,,,,,,
,,,,2,Does Mouratoglou Academy have its own clothing and socks?,通用知识推理,Yes.,教练穿着跟挡板一样Logo的袜子，说明这家网球学校有自己的服装。,教练的衣服和袜子上印着跟挡板一样的logo，即大写的M。,,,,,,,,,,
,,,,3,Is the training ground in this video a clay or a hard surface?,多模态/多语言推理,Clay.,,仔细观察球员们打球的动态，红色的场地上有很多不平的痕迹，而且球员鞋底了沾了很多红色的土，所以这片场地是土场而不是硬地。,,,,,,,,,,
,,,,4,Is Patrick a patient or impatient person?,人物属性建模,Patient.,,教练在教学过程中不仅经常言语鼓励学员，而且一对一示范具体动作，蹲下来与学员交流感受，是个十分耐心的人。,,,,,,,,,,
,,,,5,Did the student Amir in this video practice receiving serves directly after volleying?,多跳推理,No.,,字幕有提示学员所练的技术，练完截击之后并不是接发球，而是发球serve。,,,,,,,,,,
,,,,6,How many times did the student Amir change clothes throughout the training?,多线索推理,Once.,,要从头到尾观察学员的衣服，前半场他穿的是纯白色的上衣，下半场换上了一件渐变黄色的衣服，虽然没有拍到换衣服的过程，可以确定他换过一次。,,,,,,,,,,
,,,,7,What is Patrick's job?,"多线索推理,人物属性建模",Tennis trainer.,,"视频中，Patrick不断为男孩讲解如何发力，如何接球；陪伴男孩训练以及对男孩的动作做出""Yes""的回应，可推出Patrick是一名网球教练",,,,,,,,,,
38,https://www.youtube.com/watch?v=34XOpeUDDPQ,37:48,街头互动 - 采访,1,Is Felipe a man with a plan? ,人物属性建模,No.,,模型需要定位Felipe介绍自己的项链的片段，他说自己的项链是个日历，表示无需为明天做计划，想做什么就做，由此可知他是一个没有计划的人。,,,,,,,,,,
,,,,2,What is Deejay's occupation? ,人物属性建模,Fashion designer.,,模型需要定位Deejay介绍自己的穿搭的片段，片段中她提到自己和同伴的包包都是自己做的，并且在Instagram上可以买到，由此可知她是个时尚设计师。,,,,,,,,,,
,,,,3,What kind of food does Ravita serve? ,通用知识推理,"Healthy, girly food.",当Deejay和anouk被问到纽约推荐的餐厅时Deejay说她们每天都吃Ravita，因为她们喜欢健康的、女孩的食物，由此可知Ravita提供健康、女孩的食物。,模型需要定位Deejay和anouk被问到纽约推荐的餐厅的片段，感觉片段中她们的回答可知Ravita提供健康、女孩的食物。,,,,,,,,,,
,,,,4,Is there a lot of fashion in Harlem? ,通用知识推理,Yes.,当Ralph被问到喜欢去的纽约时尚的地方时，他回答当然是哈莱姆，由此可知在哈莱姆区可以看到很多时尚元素。,模型需要定位Ralph被问到喜欢去的纽约时尚的地方的片段，感觉Ralph的回答可知在哈莱姆区可以看到很多时尚元素。,,,,,,,,,,
,,,,5,How many of the interviewees are engaged in music work?,多线索推理,Three.,,模型需要定位到多个片段，识别每个人的职业是什么，找出其中和音乐有关的人并统计数量，最终可知总共有三人从事音乐相关工作。,,,,,,,,,,
39,https://www.youtube.com/watch?v=ShTnzFYIYes,23:45,测评 - 电子产品,1,How many pairs of London headphones did Austin receive? ,多线索推理,Two pairs.,,模型需要定位Austin开盲盒开到伦敦耳机的片段，统计片段数量可知Austin一共收到了两副伦敦耳机。,,,,,,,,,,
,,,,2,Does Austin know about the prices of electronic products? ,人物属性建模,Yes.,,模型需要根据整个视频，Austin对每个盲盒是否值得做了自己的评价，这是基于他对这些电子产品的市场价得出的观点，因此可知Austin对电子产品的价格很了解。,,,,,,,,,,
,,,,3,Does Ken usually wear glasses or contact lenses? ,人物属性建模,Glasses.,,模型需要定位拍摄Ken的片段，Austin问Ken你的眼镜呢，Ken说自己为了测试apple vision pro戴了隐形眼镜，由此可推测Ken在平时都是戴框架眼镜的。,,,,,,,,,,
,,,,4,Where can people buy Plug tech? ,通用知识推理,Tik Tok.,Austin在介绍plug tech时画面中有plug tech的官方图，从图中可以判断出是Tik Tok这个平台，由此可知在Tik Tok可以买到plug tech。,模型需要定位Austin在介绍plug tech的片段，根据片段中的画面可知在Tik Tok可以买到plug tech。,,,,,,,,,,
,,,,5,"In addition to Plug tech, where else can you buy refurbished devices? ",通用知识推理,Best Buy.,视频中提到在best buy买这样一副翻新的beats fit pro是110美元，可知best buy也有出售翻新的电子产品。,模型需要定位Austin测评拆到的beats fit pro的片段，根据片段内容可知best buy也能买到翻新产品。,,,,,,,,,,
40,https://www.youtube.com/watch?v=dfz7znJ2z8E,26:03,测评 - 电子产品,1,What's Shervin's favourite sport? ,"多线索推理,人物属性建模",Marathon.,,模型需要定位多个片段，视频中Shervin多次提到自己为马拉松比赛做的准备或是之前参加过的马拉松比赛，由此可知Shervin是一个马拉松爱好者。,,,,,,,,,,
,,,,2,How to pause the Apple Watch while exercising? ,通用知识推理,Press any two buttons at the same time.,Shervin在向我们展示苹果手表如何暂停运动时同时按了两个按钮，并说任意两个操作按钮都行，由此可知同时按下任意两个按钮就可以暂停苹果手表记录运动。,模型需要定位Shervin展示苹果手表暂停运动的功能的片段，感觉片段中他的操作和语言可知同时按下任意两个按钮就可以暂停苹果手表记录运动。,,,,,,,,,,
,,,,3,"Which has better battery life, the Apple Watch or the Garmin? ","多线索推理,通用知识推理",Garmin.,Shervin说Apple Watch需要每一天半充一次电，而garmin二十几天甚至三十天充一次电就可以，由此可知garmin比Apple Watch电池续航能力好。,模型需要分别定位Shervin测评两款手表续航能力的片段，根据片段中的内容可知garmin比Apple Watch电池续航能力好。,,,,,,,,,,
,,,,4,Does Shervin pay close attention to the statistics of each exercise? ,人物属性建模,Yes.,,模型需要根据整个视频，视频中Shervin对运动数据的准确度十分在意，他还特意购买了相关配件来提升数据准确度，还有一个片段中Shervin提到一次马拉松苹果手表在中途就结束了运动记录，这让他很崩溃，由此可知他对运动数据很在意。,,,,,,,,,,
,,,,5,How many aspects does Shervin compare Apple Watch and Garmin? ,多线索推理,Eleven aspects.,,模型需要识别出每个片段对两款手表进行的不同方面的测试，最后统计出Shervin一共从十一个方面对Apple Watch和Garmin进行了对比。,,,,,,,,,,
41,https://www.youtube.com/watch?v=tbTzsc42XR8,28:57,测评 - 展会,1,Why do Youtubers need to add their own music?,"多跳推理,通用知识推理",Commercial music on-site has copyright restrictions.,博主提到“商业音乐”可能毁了他的Vlog，商业音乐通常受版权保护，未经许可使用会违反平台规则，只能添加自己的那些已获授权或自创的音乐。故而推出Youtube博主为了避免版权纠纷和确保视频正常发布而使用自己的音乐。,模型需根据博主给出的信息“商业音乐在播放，可能毁了我们的Vlog”和“我把我自己的音乐放在这个上面，······版权归迈克尔杰克逊所有”进行推断，博主显然是担心背景中的商业音乐会影响视频发布，因此是因为版权问题。,,,,,,,,,,
